*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=K130
*Date=17:11:29
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
285;;300 mil [THT];322.648;-85.6334;180;Bottom;D93
286;;;182.153;-18.5914;0;Bottom;MX128
287;;300 mil [THT];160.652;-47.5334;180;Bottom;D57
288;;;420.493;-94.8056;0;Bottom;MX44
289;;300 mil [THT];458.538;-28.4834;180;Bottom;D31
290;;;477.621;-56.7055;0;Bottom;MX57
291;;300 mil [THT];248.776;-28.4834;180;Bottom;D20
292;;300 mil [THT];373.942;-28.4834;180;Bottom;D26
293;;;127.373;-75.7296;0;Bottom;MX91
294;;300 mil [THT];279.75;-85.6334;180;Bottom;D91
295;;300 mil [THT];458.608;-85.6334;180;Bottom;D42
296;;300 mil [THT];132.148;-66.5834;180;Bottom;D76
297;;;327.47;-18.5914;0;Bottom;MX126
298;;;150.422;-47.4863;0;Bottom;Via10
299;;;373.961;-18.5869;0;Bottom;MX43
